1974,Science and state
1975,Social problems
1976,Passivity (Psychology)
1977,Culture
1978,Propaganda
1979,Genetic engineering
1980,Science
1981,Collectivism
1982,Lavado de cerebro
1983,Science-fiction anglaise
1984,Gesellschaft
1985,Moral and ethical aspects
1986,Totalitarismus
1987,Spanish fiction
1988,Capitalism
1989,Dystopia
1990,class systems
1991,London
1992,capitalist civilization
1993,English Science fiction
1994,Control (Psicología)
1995,Aspectos morales y éticos
1996,Ciencia y Estado
1997,Ciencia
1998,collectionID:ConroeChallenge
1999,Audiobooks
2000,Atomic bomb
2001,Desertification
2002,Radioactive pollution
2003,Environmental aspects
2004,Nature
2005,Effect of human beings on
2006,Realism in literature
2007,Fiction in english
2008,Angleška književnost
2009,Human behavior
2010,Forecasting
2011,Passivité (Psychologie)
2012,Collectivisme
2013,series:Luz_e_Escuridão School stories
2014,"Marriage, fiction"
2015,Matrimonio
2016,Mystery and detective stories
2017,Dating (Social customs)
2018,Ouvrages de fiction
2019,"Swan, Bella (Personnage fictif)"
2020,"Cullen, Edward (Personnage fictif)"
2021,"Black, Jacob (Personnage fictif)"
2022,Loups-garous
2023,Zwangerschap
2024,Mariage
2025,"Cullen, Edward (Fictitious character"
2026,South Carolina in fiction
2027,Beekeepers
2028,Maternal deprivation
2029,African American women in fiction
2030,Beekeepers in fiction
2031,Maternal deprivation in fiction
2032,Race relations in fiction
2033,Sisters in fiction
2034,Teenage girls in fiction
2035,Racism
2036,Beekeeping
2037,Teenage boy/girl relations
2038,Secrets
2039,"South carolina, fiction"
2040,Afrcian American Women
2041,nyt:trade-fiction-paperback=2008-07-06
2042,Spiders
2043,Swine
2044,Massachusetts Children's Book Award winner
2045,Pets
2046,Pigs
2047,Folklore
2048,American farm life
2049,Cerdos
2050,Arañas
2051,Vida agrícola
2052,For National Curriculum Key Stage 2
2053,English (ie as school subject)
2054,Spanish stories
2055,Award winning books
2056,Newbery Honor
2057,"Spiders, fiction"
2058,"Pigs, fiction"
2059,"Domestic animals, fiction"
2060,"Farm life, fiction"
2061,Stuart Little (Fictitious character)
2062,Trumpeter swan
2063,Mice
2064,Swans
2065,Stories
2066,Materiales en español
2067,"Pets, fiction"
2068,"Insects, fiction"
2069,"Authors, juvenile literature"
2070,"Domestic animals, juvenile literature"
2071,Porcs
2072,Exploitations agricoles
2073,Araignées
2074,"Children's stories, Italian"
2075,Newbery Honor book
2076,crianÃ§a
2077,Autism
2078,Asperger's syndrome
2079,Dogs
2080,Savants (Savant syndrome)
2081,Mutterentbehrung
2082,Tötung
2083,Alltag
2084,Asperger-Syndrom
2085,Konflikt
2086,Puzzles
2087,Autistic Disorder
2088,Roman pour la jeunesse anglophone
2089,Autistic youth
2090,Autism in children
2091,Aspergers syndrom
2092,The
2093,Curious
2094,Incident
2095,Of
2096,Dog
2097,In
2098,Night
2099,Time
2100,"Fiction, crime"
2101,Children's plays
2102,Autismo
2103,Sabios (Síndrome del sabio)
2104,Begabung
2105,Ma nnliche Jugend
2106,Swindon
2107,Traductions françaises
2108,Autisme
2109,Enfant autiste
2110,Autisme infantile dans la littérature
2111,Littérature anglaise
2112,Personas excepcionales
2113,Autism in literature
2114,Asperger's syndrome in literature
2115,Guides de l'étudiant
2116,Idiots-savants
2117,"Curious incident of the dog in the night-time (Haddon, Mark)"
2118,Fathers and sons
2119,Adolescents autistes
2120,Chiens
2121,Pères et fils
2122,Ouvrages pour la jeunesse
2123,Enquêtes criminelles
2124,Autiste
2125,Idiot-savant
2126,Witnesses
2127,Alcoholics
2128,Commuters
2129,Railroad travel
2130,Strangers
2131,nyt:mass-market-paperback=2016-09-11
2132,Railroads
2133,nyt:hardcover-fiction=2015-02-01
2134,Political theology
2135,Polar bears
2136,Kidnapping
2137,Children and adults
2138,Experiments
2139,"Belacqua, Lyra (Personaje literario)"
2140,Experimentos
2141,Imaginary places
2142,Lugares imaginarios
2143,Lyra Belacqua (Fictitious character)
2144,Novela fantástica inglesa
2145,"Parry, Will (Personaje literario)"
2146,Secuestro
2147,Will Parry (Fictitious character)
2148,Artic regions
2149,"Belacqua, Lyra (Fictitious character) -- Juvenile fiction"
2150,Missing persons -- Experiments -- Juvenile fiction
2151,Kidnapping -- Juvenile fiction
2152,JUVENILE FICTION -- Action & Adventure
2153,JUVENILE FICTION -- Fantasy & Magic
2154,JUVENILE FICTION -- Social Themes -- Self-Esteem & Self-Reliance
2155,"Belacqua, Lyra (Fictitious character)"
2156,Missing persons -- Experiments
2157,Missing persons -- Fiction
2158,Kidnapping -- Fiction
2159,Arctic regions -- Juvenile fiction
2160,Arctic Regions
2161,Arctic regions -- Fiction
2162,skjønnlitteratur
2163,Amitie
2164,Enlevement
2165,"Belacqua, lyra (fictitious character), fiction"
2166,Action & Adventure - General
2167,Children's 12-Up - Fiction - Fantasy
2168,Children's Books - Young Adult
2169,Children: Young Adult (Gr. 7-9)
2170,Geographical myths
2171,Mythical Animals
2172,Carnegie Medal
2173,Teens
2174,Fiction - General
2175,Spanish: Adult Fiction
2176,Teenage fiction
2177,"Spanish language, juvenile literature"
2178,"Spanish language, readers"
2179,The Marvelous
2180,Dämon
2181,Entführung
2182,Menschenversuch
2183,Mädchen
2184,Zigeuner
2185,"Great britain, fiction"
2186,"Teachers, fiction"
2187,Familiars (Spirits)
2188,form:novel
2189,genre:tragedy
2190,genre:gothic
2191,Classic fiction
2192,Country life
2193,English language readers
2194,family life
2195,Foundlings
2196,Historical Fiction
2197,Inheritance and succession
2198,Landscape in literature
2199,Rejection (Psychology)
2200,romantic fiction
2201,Rural families
2202,slavery
2203,tragedy
2204,Revenge -- Fiction
2205,Rejection (Psychology) -- Fiction
2206,Yorkshire (England) -- Fiction
2207,Foundlings -- Fiction
2208,Rural families -- Fiction
2209,Heathcliff (Fictitious character : Brontë) -- Fiction
2210,Triangles (Interpersonal relations) -- Fiction
2211,"Heathcliff (fictitious character), fiction"
2212,Triangle (Relations humaines)
2213,Rejet (Psychologie)
2214,Familles rurales
2215,Enfants trouvés
2216,"Wuthering Heights (Brontë, Emily)"
2217,Triangles (Interpersonal relationships)
2218,Yorkshire (England)
2219,Femmes
2220,Heathcliff (Fictitious character)
2221,Catherine Earnshawm (Fictitious character)
2222,English Gothic fiction
2223,Wuthering heights (Emily Brontë)
2224,"Comic books, strips, etc."
2225,"Literature, collections"
2226,Foundlings in fiction
2227,Rural families in fiction
2228,Revenge in fiction
2229,Landscape in literature in fiction
2230,Slavery in fiction
2231,Reading books
2232,Country life in fiction
2233,Orphans in fiction
2234,Study and teaching
2235,Love in fiction
2236,Heathcliff (Fictitious character : Brontë)
2237,Social conflict
2238,Triangles (interpersonal relations)--fiction
2239,Revenge--fiction
2240,Pr4172 .w7 2009c
2241,Hl 2083
2242,"Bronte, emily, 1818-1848"
2243,Beuve de Hanstone (Legendary character)
2244,Texts
2245,Jodi Picoult
2246,Movie Tie-in
2247,American Domestic
2248,Daughters
2249,Leukemia
2250,Sick children
2251,Morals
2252,Morality
2253,Ethical
2254,Donors
2255,Bone
2256,Marrow
2257,Organ
2258,Genetic
2259,Engineering
2260,Hospital
2261,Patient
2262,Blood
2263,Transfusions
2264,Transplants
2265,Needles
2266,Bruising
2267,Successful? Not? Muchachas adolescentes
2268,Madre e hija
2269,Novela doméstica
2270,Leucemia
2271,Pacientes
2272,Organ donors
2273,Family Life
2274,"Donation of organs, tissues"
2275,Mother-daughter relationship
2276,Realistic Fiction
2277,nyt:mass-market-paperback=2009-06-07
2278,Famille
2279,Donneurs d'organes
2280,Enfants malades
2281,Mères et filles
2282,Leucémiques
2283,Bone marrow
2284,Transplantation
2285,American science fiction
2286,bombing of Dresden
2287,Open Library staff picks
2288,military fiction
2289,war stories
2290,World War II
2291,literature and the war
2292,free will and determinism
2293,Boats and boating
2294,"Fiction, war & military"
2295,"Vonnegut, kurt, 1922-2007"
2296,"American literature, history and criticism"
2297,Destruction and pillage
2298,Literatură americană
2299,Prisoners of war
2300,Children and war
2301,"Guerra Mundial 11, 1939-1945"
2302,American Spy stories
2303,Bildungsroman
2304,history
2305,United States Civil War
2306,Pulitzer Prize Winner
2307,award:pulitzer_prize=fiction
2308,award:pulitzer_prize=1937
2309,Plantation life
2310,"United States -- History -- Civil War, 1861-1865 -- Fiction."
2311,American Civil War (1861-1865) fast (OCoLC)fst01351658
2312,"Georgia, fiction"
2313,"United states, history, civil war, 1861-1865, fiction"
2314,"O'hara, scarlett (fictitious character), fiction"
2315,Sezessionskrieg
2316,Südstaaten
2317,Scarlett O'Hara (Fictitious character)
2318,"O'Hara, Scarlett (Fictitious character) -- Fiction"
2319,"O'Hara, Scarlett (Fictitious character)"
2320,Women -- Georgia -- Fiction
2321,Plantations -- Georgia -- History -- 19th century -- Fiction
2322,"Plantations -- Géorgie (État) -- Histoire -- 19e siècle -- Romans, nouvelles, etc"
2323,Plantations
2324,"Georgia -- History -- Civil War, 1861-1865 -- Fiction"
2325,"Géorgie (État) -- Histoire -- 1861-1865 (Guerre de Sécession) -- Romans, nouvelles, etc"
2326,Georgia
2327,Translations into Japanese
2328,Slave trade
2329,African Continental Ancestry Group
2330,Economics
2331,Powieści
2332,Vie dans les plantations
2333,Manuskript
2334,Epistolary fiction
2335,Diary novels
2336,high school students
2337,social conditions
2338,teenagers
2339,letters
2340,diary fiction
2341,coming of age
2342,introversion
2343,sexuality
2344,drug use
2345,mental health
2346,coming-of-age
2347,music
2348,infinite
2349,abuse
2350,repression
2351,friendship
2352,Loss (Psychology)
2353,"Diaries, fiction"
2354,"Emotions, fiction"
2355,Translations into Vietnamese
2356,nyt:paperback-books=2012-06-24
2357,"Letters, fiction"
2358,Adolescents
2359,Conditions sociales
2360,Lettres (Genre littéraire)
2361,Epistolary novels
2362,High school students--social conditions
2363,High school students--social conditions--fiction
2364,High school students--social conditions--juvenile fiction
2365,Teenagers--juvenile fiction
2366,Letters--juvenile fiction
2367,High school students--juvenile fiction
2368,Adolescence--juvenile fiction
2369,Ps3553.h3469 p47 1999
2370,faction
2371,Grief
2372,Practical Politics
2373,JUVENILE FICTION / Love & Romance
2374,JUVENILE FICTION / Dystopian
2375,JUVENILE FICTION / Social Themes / Adolescence
2376,JUVENILE FICTION / Girls & Women
2377,JUVENILE FICTION / Science Fiction
2378,JUVENILE FICTION / Social Issues / Adolescence
2379,Girls & Women
2380,nyt:chapter-books=2012-05-20
2381,Chagrin
2382,Loyauté
2383,Conducta (Ética)
2384,nyt:mass_market_paperback=2011-07-30
2385,military education
2386,end of the world
2387,prize:nebula
2388,hegemony
2389,space warfare
2390,child soldiers
2391,The Ender Quintet
2392,automation
2393,data processing
2394,aliens
2395,Military art and science
2396,Hermanos
2397,Maniobras de guerra
2398,award:hugo_award=1986
2399,War games
2400,"Children's stories, American"
2401,Artificial intelligence
2402,Ender Wiggin (Fictitious character)
2403,"Wiggin, ender (fictitious character), fiction"
2404,"Battle school (imaginary place), fiction"
2405,"Fiction, science fiction, hard science fiction"
2406,"Brothers and sisters, fiction"
2407,Science-Fiction-Literatur
2408,Krieg
2409,Außerirdische Intelligenz
2410,award:nebula_award=novel
2411,Peter Wiggin (Fictitious character)
2412,"Siblings, fiction"
2413,Bean (Fictitious character : Card)
2414,Frankenstein (Fictitious character)
2415,Frankenstein's monster (Fictitious character)
2416,Victor Frankenstein (Fictitious character)
2417,Scientists
2418,"Frankenstein (fictitious character), fiction"
2419,"Physicians, fiction"
2420,British fiction (fictional works by one author)
2421,"Scientists, fiction"
2422,"Geneva (Switzerland), fiction"
2423,"Frankenstein (Shelley, Mary Wollstonecraft)"
2424,"Fiction, gothic"
2425,"Monsters, fiction"
2426,"Comics & graphic novels, science fiction"
2427,"Comics & graphic novels, horror"
2428,"Shelley, Mary Wollstonecraft, 1797-1851"
2429,"English fiction (collections), 19th century"
2430,"Literature and fiction, horror and ghost stories"
2431,"Science fiction, history and criticism"
2432,"Horror tales, history and criticism"
2433,Monstrous
2434,literary criticism
2435,English Horror tales
2436,Scientists in literature
2437,Monsters in literature
2438,"Science, experiments, fiction"
2439,Reincarnation
2440,Vida espiritual
2441,Arte de vivir
2442,"Switzerland, fiction"
2443,"Literature, history and criticism"
2444,Monstres
2445,Classic science fiction
2446,Horror and supernatural fiction
2447,Science in literature
2448,Illustration
2449,"English language, juvenile literature"
2450,"Shelley, Mary Wollstonecraft, 1797-1851. Frankenstein"
2451,"Frankenstein, Victor (Fictitious character) -- Fiction"
2452,Frankenstein's monster (Fictitious character) -- Fiction
2453,Scientists -- Fiction
2454,Monsters -- Fiction
2455,Frankenstein’s monster (Fictitious character)
2456,Frankenstein’s monster
2457,Monsters--fiction
2458,"Frankenstein, victor (fictitious character)"
